id,type,time,title,article_url,image_url,article
4F1juP1OvYj,article,2023-10-21 06:54:52,靠窗乘客，先登机！这一航空公司计划……,https://world.huanqiu.com/article/4F1juP1OvYj,https://rs1.huanqiucdn.cn/dp/api/files/imageDir/87dec36b678a0ed032236f70a5f4a101.png?w=1260,"美国联合航空公司计划推出一项新措施，让经济舱靠窗座位的乘客先登机，希望此举有助于加快整个登机流程，从而减少客机等待起飞的时间。 
美联社18日援引美联航一份内部备忘录报道，这项新措施计划于10月26日开始在美国国内航班和部分国际航班上实施。不过，新措施实施过程中具有灵活性，例如家庭成员仍可一同登机，不会因分别购买靠窗、靠走廊座位而被要求分批登机。 

分析指出，乘客登机后，把随身行李放入头顶行李舱，往往需要时间，排在后面的乘客就得停下来等待。让靠窗乘客先登机，就能让乘客分散在机舱走廊的两侧，从而使得更多乘客可以同时放行李，这是加快登机流程的主要因素。  

此前的测试也显示，让靠窗乘客先登机有望让整个登机流程节省至多2分钟。对于繁忙的短途航线，即便耽搁2分钟，累计的影响也会十分显著，因为这会使得后续航班晚点越来越多。
"
4F1cQUGxciU,article,2023-10-21 07:25:21,捕鱼史达数世纪、拥有超长海岸线，“挪威三文鱼”如何从峡湾走向世界？,https://world.huanqiu.com/article/4F1cQUGxciU,https://rs1.huanqiucdn.cn/dp/api/files/imageDir/359634bddc9f651d029d0d9671ba6bc3u1.png?w=1260,"【环球时报记者 赖家琪 环球时报特约记者 曾瑞】“挪威生活”网站称，捕鱼历史长达几个世纪、拥有超长海岸线的挪威每年捕捞全球约2%的鱼类，并将约35%捕捞到的鱼出口到世界各地。其中，最主要的出口产品就是“三文鱼”。挪威出口的所有海鲜中，大约有40%是“三文鱼”，如果以出口价值来计算，这一比例为68%。挪威“三文鱼”主要以新鲜整鱼、冷冻整鱼、冷冻鱼片、新鲜鱼片4种形式出口，出口数量依次递减。

海产品专业网站“SeafoodSource”报道称，2023年第40周，挪威总共出口了2.5979万吨“三文鱼”，环比增长1.79%，较2022年同期增长4.19%。欧盟是挪威“三文鱼”的最大出口市场，今年第40周从挪威进口了2.0757万吨“三文鱼”。
“挪威北部有许多深峡湾，寒冷、营养丰富的水域非常适合大西洋鲑生长。”海产品养殖场运营经理达尔告诉“来自挪威的海产品”网站，这些条件使得挪威能生产出高品质的“三文鱼”。除了良好的自然条件，50多年的“三文鱼”养殖历史也让挪威在这一领域处于领先地位。根据美国俄勒冈州教育部门发布的《三文鱼养殖简史》，挪威从20世纪60年代晚期开始养殖“三文鱼”。在20世纪90年代，由于过度生产，供过于求，“三文鱼”价格大幅下跌，挪威“三文鱼”养殖业面临巨大危机。许多小养殖场破产，该行业不得不重组以应对新的市场环境。1991年，挪威通过了一个新法规，允许一个养殖者拥有多个养殖场，为挪威“三文鱼”养殖业的整合提供了可能，也催生了垂直一体化生产模式。尽管此举令挪威“三文鱼”养殖公司的数量从1990年的1100家减少到1998年的270家，但保住了挪威“三文鱼”养殖业在全球的领先地位。
20世纪80年代，为“三文鱼”产量过剩发愁的挪威养殖企业盯上了缺鱼的日本，想要将他们多余的“三文鱼”卖到日本。当时，在太平洋海域捕获的太平洋鲑大部分含有寄生虫，日本消费者普遍会将其烤熟或煮熟后再食用。80年代中期，时任挪威渔业大臣的利斯托启动了“日本计划”。他带着由出口商和相关机构代表组成的团队来到日本。他们向日本官员、餐馆老板等介绍可生食的大西洋鲑鱼，并逐渐获得认可。为了打开日本市场，挪威出口商还入乡随俗，给“三文鱼”起日本名字，并发明了将生“三文鱼”片与寿司搭配食用的方式，最终让“三文鱼”成为日本人餐桌上必不可少的一道美食。当然，这个过程并非一朝一夕完成，利斯托和他的团队花了15年的时间，才真正让“三文鱼”配寿司的吃法成为主流。
为了开发全球市场，作为挪威海产品出口企业官方代表的挪威海产局在包括中国在内的12个国家开设了办事处。该部门称，“在中国，挪威海产局一直积极致力于通过营销活动、公关、市场洞察、市场准入和品牌声誉管理等五大途径推广包括‘三文鱼’、青花鱼、北极鳕鱼和虾蟹贝类等挪威海产品，提升挪威海产价值。”去年，挪威海产局携手8家挪威海产出口企业参加第五届中国国际进口博览会。2023年前8个月，挪威海产对中国的出口额达到55.8亿挪威克朗（约合37亿元人民币），同比增长约10.06%。今年，该部门还将以更大参展规模参加进博会。挪威海产局中国内地及香港地区总监童安睿表示：“去年参展得益于进博效应，我们收获满满。今年我们期待进一步加强与中国消费者和行业伙伴的深入交流和互动。”除了参加大型展会外，该部门还不断在国内知名零售商超开展推广活动，链接终端消费者。
"
4F1cBZXW2mM,article,2023-10-21 07:21:16,价格“狂飙”！热销珍珠品类涨幅达到80%，怎么看这波珍珠热？,https://world.huanqiu.com/article/4F1cBZXW2mM,https://rs1.huanqiucdn.cn/dp/api/files/imageDir/b2e847f96696baf269f50158aeaf0cc2u5.jpg?w=1260,"【环球时报报道 记者 丁雅栀】从韩剧《黑暗荣耀》到电影《消失的她》，从角色妍珍到演员倪妮，电视剧的热播及明星的带动使得珍珠话题在社交平台上的热度一路飙高，“妈妈款”珍珠一时成为了年轻人“追捧”的对象。需求端格局的变化正影响着整条珍珠产业链，因此，与话题度一路飙升的还有珍珠价格。中国珠宝玉石首饰行业协会官网披露的数据显示，今年上半年，热销珍珠品类涨幅达到80%。但珍珠价格高位是否能一直保持？供需格局的变化又将对中国珍珠产业链产生怎样的影响？ 

价格坐上“火箭”
“一串同等品质的10mm—12mm尺寸的澳白珍珠项链今年价格能达到30万元，此前大概在10万元到15万元之间。”河南省珠宝玉石行业协会专家组成员杨佳从事珠宝行业多年，她用“前所未有”形容今年珍珠行业的涨势。她告诉《环球时报》记者，除了澳白之外，受市场认可度高的8mm—8.5mm点位的日本Akoya珍珠项链，前两年的价格不会超过1.8万元，今年的起步价在3万元，涨幅接近70%。此外，孔雀绿的大溪地黑珠价格也几乎翻了一倍。这种上涨的态势也从海水珍珠一直蔓延到淡水珍珠。
位于浙江诸暨的华东国际珠宝城今年迎来了“抢珍珠”热潮。珠宝城创新发展部经理袁小鹏也佐证了珍珠行业价格的上涨。他对《环球时报》记者表示，涨幅最大的是大溪地黑珍珠，其次是日本Akoya珍珠，澳白则长期处于价格高位。而淡水珍珠在这一消费趋势的带动下，价格也水涨船高。
珍珠产业整体爆发的原因可以简单归纳为四个字——供不应求。
袁小鹏分析称，从供应端看，受大环境影响，珍珠产量过去几年并没有提高，反而有所降低。一方面，海水珍珠对环境和养殖技术要求高，生产周期长，本身产量就少，来自消费端的一些刺激，产业链需要一定的反应时间。另一方面，淡水珍珠产量下降主要受到环保政策的影响。作为全球最大的淡水珍珠生产国，中国淡水珍珠的产量下降尤为明显。
浙江省珍珠行业协会数据显示，2020年全国珍珠产量在100万公斤左右，2021年下降到80万公斤，2022年下降到70万公斤。
杨佳解释称，国家注重水质保护，而淡水珍珠的培育需要养殖户大量投喂肥料，导致大片水域被污染。因此国家为保护环境出台了一些政策，限制与规范珍珠养殖产业。伴随一批不符合生态标准的养殖场被关停，珍珠产量也随之下降。
而在需求端，珍珠消费群体逐渐扩大，需求也在上升。《环球时报》记者在小红书平台搜索“珍珠”，相关话题浏览量超10亿。珍珠搭配场景被不断拓宽。
袁小鹏认为，相对其他品类的珠宝来说，珍珠价格区间比较灵活，且性价比较高，年轻人入手珍珠的门槛不是特别高。同时，在珍珠设计上，业内出现了明显的年轻化趋势，更加迎合年轻消费群体。不仅年轻女性愿意消费珍珠，年轻男性群体也愿意消费。
此外，电商直播的兴起也为“珍珠热”再添一把火。据《抖音珠宝配饰行业报告》，早在2021年珍珠行业环比增速已经仅次于黄金。淡水珍珠与海水珍珠分别占据了72%与28%的市场份额。作为国内最大珍珠产地的诸暨，也抓住了电商直播的风口。相关资料显示，近两年诸暨珍珠在直播行业的销售额同比增长440%。
价格高位只有两年？
席卷而来的“珍珠热”是泡沫，还是风口？这场“泼天富贵”能否一直眷顾珍珠行业？
对此，业内专家表示，物以稀为贵。淡水珍珠属于养殖技术较为成熟、养殖周期短的品类，对养殖条件的要求也不苛刻，是完全可再生资源。考虑到今年珍珠价格上涨后，养殖户会抓住机会扩产，淡水珍珠的价格高位可能只持续两年左右。而海水珍珠养殖周期往往更长，养殖成本更高，更加依赖自然环境，加上海水珍珠的产地主要在澳大利亚、日本、印度尼西亚、菲律宾等，中国本身海水珍珠产量低，主要依靠进口。
更重要的是，海水珍珠的扩产空间很小。研究机构Zion Market Research的报告显示，海水珍珠高度依赖自然，大多数珠宝级珍珠是在野生环境中自然生成的。然而，过度养殖海水珍珠会严重影响海洋生态系统。如果海洋生态系统出现问题，海水珍珠的供应量和质量都会受到严重损害。
研究报告称，由于海水珍珠的生产更容易受到气候和生态系统变化的影响，因此无法从长远角度预测珍珠的供应链走向。另一方面，从珍珠本身的品质来看，海水珍珠比淡水珍珠更耐用、更保值。
“海水珍珠普遍品质高于淡水珍珠。淡水珍珠戴几年光泽会暗淡、珠体会变脆发黄，而珠层更紧实的海水珍珠的光泽却可以维持数年不变，而且海水珍珠形状更为规整、更圆润，收藏价值更高。”杨佳解释道。
全球七成淡水珍珠产在中国
作为国内最大珍珠产地，浙江省诸暨市山下湖镇拥有全球最大的淡水珍珠交易市场，占全球淡水珍珠总产量的73%，全中国淡水珍珠总产量的80%。2022年，山下湖镇70%以上人口从事珍珠产业相关工作，珍珠产销突破400亿元。然而，国内诸暨珍珠闻名，但国际上却鲜有叫得出名字的中国品牌。国外的珍珠品牌，如日本的御木本、塔思琦被提及更多。
杨佳表示，这是海水珍珠的天然优势导致的结果。国际知名品牌往往以海水珍珠产品为主，在国际市场上的认可度更高。但是她也表示，近年来，以阮仕珍珠为代表的国产品牌也开始凭借国风设计在国际舞台上占据一席之地。
袁小鹏对未来中国珍珠品牌的发展持乐观态度。他表示，国内珍珠行业有产地优势、规模优势和消费市场优势，未来随着养殖技术的升级与更新，中国珍珠的品质将不断提升，在国际上打出品牌。
《环球时报》记者注意到，国产新型有核淡水珠——爱迪生珍珠在国际市场上的声量越来越大。作为一种养殖珍珠，爱迪生珍珠的直径都在11mm以上，正圆率也很高，颜色丰富，有白色、肉色、粉色、紫色等多种天然形成的颜色，在外观上可媲美海水珍珠。业内专家认为，未来，爱迪生珍珠或可成为国产珍珠在国际市场上的竞争优势，为国产珍珠的品牌化之路助力。
"
4F1b4jIVuNd,article,2023-10-21 06:51:08,游戏引擎之忧，中国企业会被“卡脖子”吗？,https://world.huanqiu.com/article/4F1b4jIVuNd,https://rs1.huanqiucdn.cn/dp/api/files/imageDir/c48560a04299e8674fd09a6f7fe86995u1.png?w=1260,"【环球时报记者 赵觉珵  王冬 环球时报特约记者 柳玉鹏 甄 翔】伴随着美国进一步升级对中国芯片、人工智能等高科技产业的限制打压，汇集芯片、人工智能和元宇宙等众多前沿技术的游戏产业，正在被越来越多的人所聚焦。在各个国家，游戏产业扮演的角色都越来越丰富、越来越重要。《2023年1-6月中国游戏产业报告》显示，今年上半年，中国游戏市场回暖趋势明显。但国际游戏市场因巨头收费政策掀起的风波，引发市场对中国游戏研发或被“卡脖子”的忧虑。

全球游戏界动荡
作为风波的始作俑者，美国游戏引擎Unity的收费新政搅动了全球游戏市场，中国游戏产业也被卷入其中。《纽约时报》报道称，作为一家拥有数百万游戏开发者客户的平台，多年来Unity要求用户每年给平台缴纳固定的费用即可。今年9月，该平台突然提出要修改规则，称游戏的收入和下载量也将纳入收费标准的考量。此举令许多游戏工作室愤怒，认为是行业巨头凭借自身优势地位，对用户的一次“算计”。美国《应用开发员》杂志17日称，Unity提出修改收费模式已造成游戏界巨大动荡。
《纽约时报》称，Unity的新收费政策已演变成一场危机，包括一些知名游戏开发工作室在内的全球客户已威胁要退出Unity，认为其新收费模式将“杀死游戏开发业务”。一些中小型游戏开发商首当其冲，许多开发人员认为，这种模式导致开发的游戏越受欢迎就越吃亏，因为平台会抽走更多好处。由于新收费模式引发巨大反弹，Unity在9月底重新调整收费政策，并在10月9日宣布首席执行官约翰·里奇蒂洛辞职。
Unity引擎同中国游戏产业关联颇深。根据Unity公开的信息，其客户目前既包括动视暴雪、育碧等国外游戏大厂，也包括腾讯、网易等国内游戏企业。在全球销量前1000名的手机游戏中，与Unity有关的作品占据一半左右，而中国是Unity增速最快的市场之一。2022年8月，Unity在中国成立合资企业“Unity中国”，阿里巴巴、米哈游等参与投资该合资公司。此后还推出中国版引擎——团结引擎。目前《王者荣耀》《原神》《永劫无间》等国产热门游戏背后都有来自Unity引擎的“贡献”。
国内某大型游戏公司员工李涛（化名）19日告诉《环球时报》记者，Unity的涨价对于国内PC端、主机端游戏厂商预计影响有限，可能对一些手游公司影响较大，涨价也会冲击一些中小型游戏开发商。
聚光灯下
此次风波令长期居于产业“幕后”的游戏引擎暴露在聚光灯下。《环球时报》记者从行业人士处了解到，目前在游戏引擎领域，国内游戏的开发比较依靠国际平台，美国企业居于主导地位。在美国频频向中国新兴产业发展设下障碍之际，中国游戏产业是否会被外国游戏引擎“卡脖子”引起热议。
游戏引擎一般指已编写好的可编辑电脑游戏系统或者一些交互式实时图像应用程序的核心组件。有游戏行业从业者对《环球时报》记者表示，游戏引擎可以比作传统工厂中的生产流水线或机床，是供开发者开发游戏的工具和平台，其目的在于让游戏设计者能快速地做出游戏程式。美国、欧洲和日本是世界上主流的游戏引擎诞生地。整体来看，以Unity、虚幻（UE）等美国游戏引擎企业为行业龙头。
游戏产业研究媒体游戏大观主编洪涛19日告诉《环球时报》记者，打造游戏引擎需要很强的技术功底，以及在行业内的历史积累。作为制作高质量游戏的平台工具，好的游戏引擎需要做到适应不同类型的游戏的研发。
根据分析机构Niko Partner发布的报告，2022年，中国游戏市场总收入为455亿美元。在PC游戏和手机游戏方面，中国均是全球最大的市场。2022年中国PC游戏收入为142亿美元，手游收入为301亿美元。
李涛分析称，目前国内大型游戏厂商也有自研引擎，但功能性存在欠缺。随着Unity和UE等国际游戏引擎不断成熟，自研游戏引擎被一些企业认为是没有必要的行为，某些企业的自研引擎部门也被解散。目前国内自研的游戏引擎在技术、经验等方面与国外存在差距。
政治因素在影响产业
中央文化和旅游管理干部学院副研究员、北京市文联签约评论家孙佳山对《环球时报》记者分析称，在文化产业领域，游戏引擎不只是对游戏行业重要，在电视、电影产业中也在发挥越来越独特的作用。经过过去20多年的发展，中国在游戏开发设计领域已经取得长足的进步。但未来中国企业还是要追求打造更多独立自主的游戏引擎，将游戏产业的底层技术掌握在自己手里。
洪涛表示，当工具产品的市场占有率达到很高比例的时候，不可避免会产生垄断的担忧。目前游戏引擎市场格局是市场竞争的结果，是否会被“卡脖子”要考虑地缘政治因素。
“游戏确实已经成为影响地缘政治格局的高维媒介。”孙佳山告诉记者，北美、欧盟等国家和地区已经认识到，通过游戏媒介能够获得远超其自身现实地缘政治辐射范围的影响力和软实力。早在2021年12月，美国《外交政策》就曾刊文分析游戏与地缘政治的关系，其中提到，地缘政治加速对抗对游戏产业的影响尤其尖锐。
游戏产业的重要性和影响力逐步提升，对全球主要游戏市场的独立开发能力也提出了更高要求。在西方公司占据主导的全球游戏市场，地缘政治对游戏产业的影响正在加深。
俄乌冲突爆发，对俄游戏行业带来的冲击巨大。由于很多西方企业在政治压力下对俄罗斯实施“软件断供”，俄罗斯游戏行业的正常运行受到严重干扰。俄媒的一项调查报告显示，俄罗斯有近8成的开发者使用Unity和虚幻引擎，而这两家引擎厂商已经宣布停止与俄罗斯企业的商业往来。
俄罗斯3dnews网报道称，根据俄专家公布的信息，由于西方制裁令主要国际游戏退出俄罗斯市场，索尼、微软和动视等游戏公司和游戏工作室也撤离俄罗斯。2021年时，俄罗斯网络游戏市场价值为1774亿卢布（100卢布约合7.64元人民币），而到2022年底市场已降至218亿卢布，一些俄罗斯游戏公司也被迫重组。
据俄罗斯《生意人报》10月19日报道，俄总统普京在当天体育运动发展委员会会议上表示，在俄罗斯进行的所有网络游戏都应使用俄罗斯服务器和.ru域名。俄政治学家格拉什琴科夫称，普京希望借此向官员表明，他们应更关注电子竞技的发展。俄罗斯有很多游戏开发商在西方制裁下遭受损失，国家需要支持电子竞技和电子游戏的发展。
孙佳山认为，游戏引擎技术的突破不应是孤立的，在这个过程中，要注重通过产业的方式，通过市场经济的方式，以整体市场规模的增长、产业规模的扩大来逐步实现。类似的案例可以参照中国智能手机产业的崛起过程，正是在巨大的市场和产品出货量的基础上，才能诞生出华为等一系列优秀的国产手机品牌。
"
reuters_e47645e8-90b2-4a2a-ad51-979ce1e265be,TextStoryCard,2023-10-20T11:12:04Z,Hamas hostages: what we know so far,https://www.reuters.com/world/middle-east/what-do-we-now-about-hamas-hostages-2023-10-19/,,
reuters_c8fc83ed-c1fb-40e5-8165-51e1f7abea20,TextStoryCard,2023-10-21T06:22:03Z,Thousands in Australia join pro-Palestinian march over Gaza,https://www.reuters.com/world/middle-east/thousands-australia-join-pro-palestinian-march-over-gaza-2023-10-21/,,
reuters_57cc3787-ea8a-4ff2-908a-f94501f05395,TextStoryCard,2023-10-21T03:17:14Z,Hamas attack aimed to disrupt Saudi-Israel normalization -Biden,https://www.reuters.com/world/middle-east/hamas-attack-aimed-disrupt-saudi-israel-normalization-biden-2023-10-20/,,
reuters_8eaf593f-8e58-4ee5-a807-7a19b851f6cf,TextStoryCard,2023-10-20T23:50:27Z,Former U.S. Rep Amash says relatives killed in Gaza church air strike,https://www.reuters.com/world/former-us-rep-amash-says-relatives-killed-gaza-church-air-strike-2023-10-20/,,
reuters_7ed5f606-55cb-4442-878f-d38c1025e9d7,TextStoryCard,2023-10-20T23:32:44Z,U.N. chief pleads for Gaza lifeline at Egypt border crossing,https://www.reuters.com/world/un-chief-pushes-get-aid-into-gaza-process-is-slow-2023-10-20/,,
reuters_3f2d7142-622d-4d94-9859-92e7113f767d,TextStoryCard,2023-10-20T22:39:58Z,"'History is watching:' Hollywood stars urge Biden to press for Israel, Gaza ceasefire",https://www.reuters.com/world/history-is-watching-hollywood-stars-urge-biden-press-israel-gaza-ceasefire-2023-10-20/,,
